Step,Time,Vehicles,J1_Phase,J2_Phase,J1_Queue,J2_Queue,Total_Queue,Network_Delay
10,10,2,0,-1,0,0,0,0.0
20,20,21,0,-1,0,0,0,0.0
30,30,21,0,-1,1,0,1,1.0
40,40,21,0,-1,1,0,1,5.5
50,50,21,1,-1,2,0,2,8.333333333333334
60,60,21,2,-1,1,0,1,2.5
70,70,21,2,-1,1,0,1,10.0
80,80,21,2,-1,2,0,2,18.8
90,90,21,3,-1,2,0,2,24.0
100,100,20,0,-1,2,0,2,2.1666666666666665
110,110,20,0,-1,3,0,3,3.5
120,120,20,0,-1,2,0,2,5.222222222222222
130,130,15,0,-1,2,0,2,13.4
140,140,13,1,-1,3,0,3,23.25
150,150,12,2,-1,0,0,0,2.25
160,160,10,2,-1,0,0,0,6.333333333333333
170,170,9,2,-1,0,0,0,9.666666666666666
180,180,8,2,-1,0,0,0,14.0
190,190,8,0,-1,0,0,0,0.0
200,200,7,0,-1,0,0,0,0.0
210,210,6,0,-1,0,0,0,0.0
220,220,5,0,-1,0,0,0,0.0
230,230,25,0,-1,0,0,0,1.25
240,240,24,2,-1,1,0,1,5.25
250,250,23,2,-1,1,0,1,12.75
260,260,23,2,-1,2,0,2,17.6
270,270,23,2,-1,2,0,2,21.333333333333332
280,280,22,3,-1,2,0,2,12.333333333333334
290,290,19,0,-1,0,0,0,0.0
300,300,18,0,-1,2,0,2,2.0
310,310,16,0,-1,2,0,2,9.333333333333334
320,320,16,0,-1,2,0,2,12.0
330,330,16,1,-1,2,0,2,15.4
340,340,15,2,-1,1,0,1,5.0
350,350,14,2,-1,0,0,0,13.0
360,360,14,2,-1,0,0,0,17.5
370,370,11,3,-1,0,0,0,16.5
380,380,10,0,-1,0,0,0,0.0
390,390,8,0,-1,0,0,0,0.0
400,400,7,0,-1,0,0,0,0.0
410,410,7,0,-1,0,0,0,2.0
420,420,5,0,-1,1,0,1,8.0
430,430,5,2,-1,1,0,1,7.0
440,440,26,2,-1,1,0,1,12.0
450,450,25,2,-1,1,0,1,20.0
460,460,25,2,-1,1,0,1,16.4
470,470,25,0,-1,0,0,0,7.8
480,480,22,0,-1,0,0,0,0.0
490,490,18,0,-1,0,0,0,0.0
