Step,Time,Vehicles,J1_Phase,J2_Phase,J1_Queue,J2_Queue,J1_Waiting,J2_Waiting,J1_GreenPair,J2_GreenPair,J1_AllYellow,J2_AllYellow
10,10,2,0,0,0,0,0.0,0.0,EW,IDLE,False,False
20,20,21,0,1,0,0,0.0,0.0,EW,IDLE,False,True
30,30,21,2,2,0,0,0.0,0.0,NS,IDLE,False,True
40,40,21,2,2,0,0,0.0,0.0,NS,IDLE,False,True
50,50,21,2,2,0,0,0.0,0.0,NS,IDLE,False,True
60,60,21,2,3,1,0,1.0,0.0,NS,EW,False,False
70,70,21,3,0,1,0,11.0,0.0,IDLE,EW,False,False
80,80,21,0,1,3,0,2.3,0.0,EW,IDLE,False,False
90,90,20,0,2,1,0,0.0,0.0,EW,IDLE,False,False
100,100,19,0,1,1,0,3.0,0.0,EW,IDLE,False,True
110,110,18,0,0,2,1,12.0,0.0,EW,EW,False,False
120,120,17,1,0,2,0,1.0,0.0,IDLE,EW,False,False
130,130,15,2,1,0,0,0.0,0.0,NS,IDLE,False,False
140,140,13,2,0,1,0,4.5,0.0,NS,EW,False,False
150,150,10,3,1,1,0,19.0,0.0,IDLE,IDLE,False,False
160,160,9,0,2,1,0,4.0,0.0,EW,IDLE,False,False
170,170,9,1,1,1,0,7.0,0.0,IDLE,IDLE,False,True
180,180,9,2,0,2,1,2.0,0.0,NS,EW,False,False
190,190,9,2,0,2,0,2.0,0.0,NS,EW,False,False
200,200,7,2,1,4,0,8.0,0.0,NS,IDLE,False,False
210,210,7,0,2,0,0,0.0,0.0,EW,IDLE,False,False
220,220,5,0,2,0,0,0.0,0.0,EW,IDLE,False,True
230,230,26,1,2,0,0,0.0,0.0,IDLE,IDLE,False,True
240,240,25,0,0,0,1,0.0,0.0,EW,EW,False,False
250,250,22,1,0,0,1,0.0,1.7,IDLE,EW,False,False
260,260,22,2,0,0,1,0.0,15.0,IDLE,EW,False,False
270,270,21,3,0,0,1,0.0,25.0,EW,EW,False,False
280,280,20,0,2,0,0,0.0,0.0,EW,NS,False,False
290,290,20,0,3,0,0,0.0,0.0,EW,IDLE,False,False
300,300,18,0,0,1,0,1.0,0.0,EW,IDLE,False,False
310,310,18,0,1,3,0,4.0,0.0,EW,IDLE,False,True
320,320,16,1,0,2,1,8.0,0.0,IDLE,EW,False,False
330,330,15,2,0,2,0,13.0,0.0,NS,EW,False,False
340,340,15,2,1,4,0,14.7,0.0,NS,IDLE,False,False
350,350,14,2,2,4,0,32.0,0.0,NS,IDLE,False,False
360,360,13,2,2,4,0,42.0,0.0,NS,IDLE,False,True
370,370,12,0,2,4,0,22.7,0.0,NS,IDLE,False,True
380,380,10,3,2,4,0,44.0,0.0,IDLE,IDLE,False,True
390,390,10,0,2,4,0,54.0,0.0,EW,IDLE,False,True
400,400,10,2,0,4,0,64.0,0.0,NS,EW,False,False
410,410,10,2,0,1,0,0.5,0.0,NS,EW,False,False
420,420,10,2,0,5,0,5.8,0.0,NS,EW,False,False
430,430,9,2,1,8,0,10.6,0.0,NS,IDLE,False,False
440,440,30,3,2,10,0,13.0,0.0,NS,IDLE,False,False
450,450,29,0,2,4,0,0.1,0.0,NS,IDLE,False,True
460,460,24,3,2,1,0,2.2,0.0,IDLE,IDLE,False,True
470,470,22,0,2,1,0,7.0,0.0,EW,IDLE,False,True
480,480,20,0,2,3,0,9.4,0.0,EW,IDLE,False,True
490,490,19,1,3,3,0,25.7,0.0,IDLE,IDLE,False,True
500,500,19,2,0,2,0,1.5,0.0,NS,IDLE,False,True
510,510,19,2,0,2,0,3.8,0.0,NS,EW,False,False
520,520,19,2,1,2,0,21.5,0.0,NS,IDLE,False,False
530,530,19,2,2,4,0,20.2,0.0,NS,IDLE,False,False
540,540,19,0,0,1,0,0.4,0.0,NS,EW,False,False
550,550,17,0,0,1,0,0.2,0.0,EW,EW,False,False
560,560,15,0,2,1,0,5.0,0.0,EW,IDLE,False,False
570,570,12,0,0,1,0,10.0,0.0,EW,EW,False,False
580,580,11,2,1,1,0,0.0,0.0,NS,IDLE,False,False
590,590,8,2,0,0,0,0.0,0.0,NS,EW,False,False
600,600,8,0,1,0,0,0.0,0.0,EW,IDLE,False,False
610,610,8,0,2,0,0,0.0,0.0,EW,IDLE,False,False
620,620,7,1,0,0,0,0.0,0.0,IDLE,EW,False,False
630,630,7,0,0,0,0,0.0,0.0,EW,EW,False,False
